dxcc_number,prefix,continent,itu_zone,cq_zone,entity_name
286,    5X*, AF,48,37, Uganda
287,    HB*, EU,28,14, Switzerland
288,"    UR-UZ,EM-EO*", EU,29,16, Ukraine
289,    4U_UN*, NA,8,5, United Nations HQ
291,"    K,W,N,AA-AK#", NA, 06-08, 03-05, United States of America
292,    UJ-UM, AS,30,17, Uzbekistan
293,"    3W,XV", AS,49,26, Viet Nam
294,"    GW,GC*", EU,27,14, Wales
295,    HV, EU,28,15, Vatican
296,"    YT,YU*", EU,28,15, Serbia
297,    KH9#, OC,65,31, Wake I.
298,    FW*, OC,62,32, Wallis & Futuna Is.
299,"    9M2,4(8)*", AS,54,28, West Malaysia
301,    T30, OC,65,31, W. Kiribati (Gilbert Is. )
302,"    S0(1),(27)", AF,46,33, Western Sahara
303,    VK9W#*, OC,55,30, Willis I.
304,    A9*, AS,39,21, Bahrain
305,    S2*, AS,41,22, Bangladesh
306,    A5, AS,41,22, Bhutan
308,"    TI,TE#*", NA,11,7, Costa Rica
309,"    XY,XZ", AS,49,26, Myanmar
312,    XU, AS,49,26, Cambodia
315,    4S*, AS,41,22, Sri Lanka
318,    B*, AS, (A),"23,24", China
321,    VR*, AS,44,24, Hong Kong
324,    VU*, AS,41,22, India
327,    YB-YH(40)*, OC,"51,54",28, Indonesia
330,"    EP,EQ*", AS,40,21, Iran
333,    YI*, AS,39,21, Iraq
336,"    4X,4Z#*", AS,39,20, Israel
339,"    JA-JS,7J-7N*", AS,45,25, Japan
342,    JY#*, AS,39,20, Jordan
344,    P5(26), AS,44,25, Democratic People's Rep. of Korea
345,    V8*, OC,54,28, Brunei Darussalam
348,    9K*, AS,39,21, Kuwait
354,    OD*, AS,39,20, Lebanon
363,    JT-JV*, AS,"32,33",23, Mongolia
369,    9N, AS,42,22, Nepal
370,    A4*, AS,39,21, Oman
372,    AP*, AS,41,21, Pakistan
375,"    DU-DZ,4D-4I#*", OC,50,27, Philippines
376,    A7*, AS,39,21, Qatar
378,    HZ*, AS,39,21, Saudi Arabia
379,    S7, AF,53,39, Seychelles
381,    9V(10)*, AS,54,28, Singapore
382,    J2*, AF,48,37, Djibouti
384,    YK*, AS,39,20, Syria
386,    BU-BX*, AS,44,24, Taiwan
387,"    HS,E2*", AS,49,26, Thailand
390,    TA-TC*," EU,AS",39,20, Turkey
